id0,id1,relationship,count
1289879593,22275527,reply-to,1
2891883116,1490566874,mentioned,10
2889466734,2757433121,reply-to,2
2194719886,2169257565,mentioned,1
2904205958,253008760,mentioned,1
974312004,2532816409,mentioned,1
2722801912,2698060667,reply-to,2
1598801928,2865761030,reply-to,2
192847562,131224207,mentioned,6
2336381272,1413761539,reply-to,2
258094996,2203050737,reply-to,65
46438405,71343336,mentioned,1
1611364122,2522738775,mentioned,1
282714070,2942487587,reply-to,2
559981785,2904205958,reply-to,7
22275527,1493702257,reply-to,1
1689369469,622090858,reply-to,3
2807490858,2909646731,reply-to,4
2842004310,609320639,reply-to,2
2398588146,28491592,reply-to,2
1506877316,1597450388,reply-to,1
2981614130,2900561003,mentioned,1
2970923751,2985532282,reply-to,2
2873150388,2198647110,mentioned,1
2416878060,2809830512,reply-to,1
2904020714,2790877298,mentioned,7
535436903,1692004315,reply-to,1
2907484101,1176300842,mentioned,1
2387272225,2314033626,mentioned,1
3079566425,2873036937,reply-to,1
3002547873,1222881480,reply-to,1
2416878060,961787250,reply-to,12
101814026,1515890040,reply-to,1
507947670,563998926,reply-to,3
21395879,764262036,reply-to,1
2414082384,1551453048,reply-to,1
3007665756,14221588,mentioned,1
2879236232,2656589428,mentioned,1
364623318,2904020714,mentioned,1
1598801928,1197339265,reply-to,4
1611364122,2353280685,reply-to,1
2148172328,2856199634,reply-to,1
1049431760,1034832678,reply-to,6
1222881480,36607082,reply-to,2
1571736818,1110411396,reply-to,1
2876305923,1656258320,reply-to,1
386790602,977560339,mentioned,1
52055326,48304438,reply-to,4
2198974326,713727168,mentioned,5
2734355331,2362477976,reply-to,2
1140918398,123649804,mentioned,1
2556936956,244237521,mentioned,1
883308811,73203781,reply-to,1
2815541726,123649804,mentioned,2
1487362622,141565618,reply-to,1
2942487587,519804223,reply-to,1
2556936956,2860208794,reply-to,2
2522760990,1375664096,reply-to,1
1216131781,556961842,reply-to,5
2984530678,2865648505,reply-to,1
1560999871,2566146384,mentioned,1
2435585468,482095157,reply-to,7
1684278678,535782808,mentioned,1
175793608,700841587,mentioned,1
2900561003,2444571134,reply-to,1
2326323615,2686915602,mentioned,2
2712118394,992698340,mentioned,1
2194719886,2649031446,mentioned,4
2747144492,1685756005,reply-to,2
1196447191,2408674502,mentioned,1
1431886142,2958976272,mentioned,2
1148631102,895860206,reply-to,1
2437369184,2942487587,mentioned,2
2211011073,16192111,mentioned,4
1140918398,185056717,mentioned,1
28491592,21395879,mentioned,30
594663412,1197339265,reply-to,1
454212238,1424051732,mentioned,2
1635777679,622090858,mentioned,2
2312884206,1592617801,reply-to,1
572184258,581260530,reply-to,1
1682421781,622090858,reply-to,5
2980753563,2553364668,reply-to,1
790107296,19405774,mentioned,1
2649031446,3030616062,mentioned,1
2815541726,46438405,mentioned,1
2572335036,2324306619,reply-to,1
1061561653,376275278,reply-to,1
1140918398,30015139,reply-to,1
1594479060,2853754570,mentioned,1
2631434421,2362477976,mentioned,1
726964724,843246134,reply-to,2
2698060667,2800033322,reply-to,3
2887997433,2548680692,reply-to,1
2764709561,2366597018,mentioned,1
2398292301,3108660478,mentioned,1
21700435,2408674502,mentioned,3
462483794,198163617,mentioned,1
579279665,554149794,mentioned,1
173955306,148382170,mentioned,15
1477998709,2604295345,mentioned,1
2745927437,2873150388,reply-to,2
764262036,320154349,mentioned,8
2788746267,93902064,reply-to,3
3000320012,482095157,mentioned,1
2522946086,2989100372,reply-to,1
3106518782,393887721,mentioned,2
2926254102,2865761030,reply-to,1
21700435,16192111,mentioned,6
17694567,38076933,reply-to,2
2453853910,2479006580,reply-to,2
2222596247,3048364917,mentioned,1
2437369184,128321908,reply-to,1
764262036,21700435,reply-to,1
368539204,1452813307,mentioned,1
2959888025,873722743,reply-to,1
2502298979,2355323753,mentioned,1
268543778,348338919,mentioned,1
122463378,31216084,reply-to,1
899052614,1110190694,reply-to,1
2874237391,1442618282,mentioned,10
2416878060,2553364668,reply-to,4
2786430847,2739897717,reply-to,1
2950225408,2916979844,reply-to,1
71042562,47926059,reply-to,1
2993353912,2895191582,mentioned,1
2615278179,3006444471,mentioned,1
961787250,2492448252,reply-to,2
2299894347,2888167623,reply-to,1
102625991,25311240,reply-to,8
2158649002,831840926,reply-to,4
173955306,2553052320,mentioned,3
393887721,148382170,mentioned,7
1471191422,1242859705,mentioned,1
883308811,34449129,mentioned,16
706143288,2982240712,mentioned,1
485092079,115117283,mentioned,1
1682421781,2899404227,reply-to,2
3042749944,2355655372,reply-to,2
408777286,597104420,reply-to,1
547172089,2521923286,reply-to,2
2408674502,211957547,mentioned,15
2198974326,2220676963,reply-to,2
122620304,593681140,mentioned,67
2427673314,185017873,reply-to,1
2162753315,368539204,reply-to,2
2365779632,1109782843,reply-to,4
2246442263,2540314239,reply-to,1
393887721,466832778,mentioned,3
2351718736,2355655372,mentioned,1
2942905060,3048364917,reply-to,1
433007443,2826296301,reply-to,2
1692004315,2910308671,mentioned,1
2913204921,1067392194,reply-to,3
3023255718,831840926,mentioned,5
2933804633,1729378902,reply-to,1
916499382,2982240712,mentioned,1
883308811,2942487587,mentioned,22
920231154,1685756005,reply-to,51
2904020714,1197339265,reply-to,1
2300746824,597104420,mentioned,1
73203781,34449129,mentioned,11
3053649606,2615278179,reply-to,3
740050238,865075694,reply-to,1
2914784997,1127197028,mentioned,3
872650686,436810517,mentioned,2
3069120335,2615278179,mentioned,1
153128126,764262036,mentioned,1
1943875518,1548066919,mentioned,1
1410895044,981138342,reply-to,1
862154029,1170075235,reply-to,1
2408674502,2439060728,mentioned,1
3002474403,2553364668,reply-to,1
338520637,124215190,mentioned,3
2300746824,437020597,reply-to,4
1234881792,1546443432,reply-to,1
2419541310,459623780,reply-to,2
1094994919,961852904,mentioned,1
763256432,20741388,reply-to,3
2776060083,2733576793,mentioned,1
2465827865,2453853910,reply-to,1
2468269830,563025694,reply-to,1
1692004315,2181777332,mentioned,16
42401442,25311240,mentioned,5
1075421527,21395879,mentioned,10
