The number of nodes: 3513
The number of nodes: 3513
The number of nodes: 3513
The number of edges: 17227
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
2330654904 	 0 	 1
2307597428 	 1 	 14
1305428378 	 1 	 3
2365463627 	 0 	 6
327089688 	 1 	 32
550525051 	 2 	 7
2153387948 	 9 	 7
2546461995 	 0 	 12
2549259533 	 4 	 0
2873231799 	 2 	 3
3033499952 	 0 	 2
2927394968 	 0 	 2
2901655468 	 0 	 1
64836760 	 1 	 6
794821652 	 0 	 1
539608375 	 1 	 10
948719917 	 27 	 16
2413179710 	 29 	 0
3025618571 	 3 	 4
818317272 	 0 	 4
1671412549 	 0 	 1
2932694680 	 0 	 1
1090278656 	 1 	 0
2477823223 	 7 	 3
2755912035 	 4 	 5
1571736818 	 0 	 1
1314492812 	 4 	 6
2739545883 	 1 	 0
859486016 	 5 	 0
3072289255 	 1 	 0
626680694 	 0 	 4
2474443172 	 1 	 2
2980753563 	 0 	 1
2884853789 	 0 	 2
374751288 	 8 	 5
1013799096 	 0 	 1
2154702807 	 0 	 1
743271156 	 19 	 7
395239132 	 1 	 1
2974338520 	 5 	 10
2708037326 	 0 	 1
760427275 	 4 	 14
2854108432 	 0 	 3
2724886479 	 0 	 1
2336131837 	 0 	 2
1535578224 	 2 	 2
623101932 	 0 	 1
1117334162 	 1 	 0
264942224 	 0 	 5
858319554 	 0 	 3
1321057975 	 0 	 1
2982959775 	 2 	 8
79814635 	 1 	 0
567237377 	 62 	 18
2602455770 	 2 	 0
1649085439 	 0 	 1
2814650182 	 3 	 2
2539367735 	 1 	 0
468465063 	 0 	 21
2439511117 	 0 	 4
2479006580 	 22 	 21
996552967 	 6 	 7
527573727 	 15 	 4
2165467287 	 18 	 7
21700435 	 3291 	 232
2540314239 	 3 	 5
2795713306 	 0 	 1
2932340903 	 0 	 1
116799843 	 1 	 0
366337022 	 12 	 15
2861018188 	 27 	 15
284051147 	 0 	 2
2914690323 	 6 	 13
2961453587 	 32 	 0
2807490858 	 25 	 99
1069244220 	 1 	 0
263159222 	 4 	 12
1674065593 	 0 	 1
633529974 	 0 	 8
30910568 	 3 	 59
2317442405 	 0 	 1
2374352016 	 0 	 1
2236187530 	 4 	 6
432644683 	 1 	 0
1239793981 	 14 	 10
2951748430 	 0 	 1
2869228564 	 0 	 2
2284385271 	 0 	 7
2758726193 	 1 	 1
204346522 	 78 	 155
2712980795 	 0 	 3
2790877298 	 14 	 20
2605327618 	 2 	 0
1289001866 	 0 	 7
2943127409 	 0 	 1
2713217973 	 2 	 0
1223544912 	 1 	 1
30015139 	 623 	 198
2911947361 	 0 	 8
2396146126 	 2 	 5
1488948696 	 4 	 2
233048570 	 10 	 16
2376562633 	 1 	 0
2741700639 	 21 	 12
149810493 	 0 	 9
2838246387 	 0 	 2
33914340 	 1 	 0
2764908505 	 59 	 0
567637435 	 4 	 6
561248539 	 6 	 10
487020046 	 3 	 1
897333290 	 1 	 3
2741194745 	 0 	 2
1601930899 	 0 	 1
2979072891 	 4 	 9
2468190746 	 26 	 42
709564512 	 2 	 3
865011199 	 1 	 0
2939795662 	 1 	 4
1217286588 	 106 	 4
799320793 	 1 	 4
2763424786 	 0 	 2
2908223273 	 1 	 0
1683126660 	 8 	 6
2932106874 	 1 	 0
2848745544 	 0 	 1
859676772 	 4 	 2
3054820614 	 1 	 0
2783333595 	 44 	 34
2905070327 	 1 	 1
2983027897 	 1 	 3
605200816 	 2 	 2
2787343407 	 2 	 2
1782064098 	 0 	 1
594663412 	 1 	 7
1166435942 	 1 	 1
87349614 	 0 	 1
2269848530 	 2 	 1
518335800 	 0 	 9
2566080701 	 0 	 3
2821979290 	 0 	 1
1452325201 	 1 	 4
1060558130 	 49 	 27
2551160676 	 0 	 1
1368602598 	 6 	 33
2808572975 	 1 	 0
1925300636 	 0 	 1
1971851532 	 0 	 7
2891253537 	 0 	 1
3044296291 	 0 	 1
2502298979 	 7 	 3
847802946 	 0 	 2
969095208 	 1 	 0
2214983240 	 0 	 2
3060131102 	 13 	 3
464521457 	 4 	 25
3041122660 	 2 	 4
2884711825 	 0 	 3
186398349 	 8 	 22
2953825694 	 6 	 0
2923933541 	 15 	 60
2679608015 	 1 	 3
2156879654 	 1 	 2
2717824730 	 2 	 0
83822809 	 0 	 1
1416454134 	 9 	 24
2227759994 	 2 	 13
2161314089 	 41 	 31
743882666 	 1 	 8
2287088478 	 0 	 2
1323318565 	 0 	 2
2993353912 	 31 	 2
854063125 	 5 	 5
2898239799 	 1 	 0
179739721 	 0 	 1
2829637638 	 3 	 1
2646311149 	 1 	 4
182674933 	 25 	 49
2288877212 	 1 	 4
2954532151 	 0 	 3
3108660478 	 7 	 4
2567197803 	 10 	 0
2989291950 	 5 	 6
1627160833 	 1 	 0
2432197028 	 2 	 5
2762127413 	 0 	 3
1295986771 	 0 	 4
2984120243 	 22 	 0
2955822062 	 1 	 7
2584657217 	 2 	 7
2168693955 	 0 	 3
2204702852 	 1 	 2
2564279666 	 24 	 4
2712118394 	 0 	 2
2177329959 	 0 	 4
554595598 	 0 	 2
2969032581 	 2 	 0
1521629156 	 0 	 17
3075014609 	 5 	 3
456688009 	 2 	 0
