user,follower,type,scraped_at
2183466469,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
776944543,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
2191470265,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
2191370953,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
840907788,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1872463484,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1563887288,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
465746250,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
705478378,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1963609128,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1597573207,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1555526803,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
1727976336,1940124240,0,Mon Jan 18 11:46:43 +0000 2016
581260530,766628396,0,Mon Jan 18 11:46:44 +0000 2016
785767908,766628396,0,Mon Jan 18 11:46:44 +0000 2016
818117258,766628396,0,Mon Jan 18 11:46:44 +0000 2016
605038884,766628396,0,Mon Jan 18 11:46:44 +0000 2016
787882158,766628396,0,Mon Jan 18 11:46:44 +0000 2016
388353254,766628396,0,Mon Jan 18 11:46:44 +0000 2016
896630940,766628396,0,Mon Jan 18 11:46:44 +0000 2016
898649935,766628396,0,Mon Jan 18 11:46:44 +0000 2016
928401722,766628396,0,Mon Jan 18 11:46:44 +0000 2016
788634266,766628396,0,Mon Jan 18 11:46:44 +0000 2016
952707068,766628396,0,Mon Jan 18 11:46:44 +0000 2016
958699591,766628396,0,Mon Jan 18 11:46:44 +0000 2016
782922434,766628396,0,Mon Jan 18 11:46:44 +0000 2016
519873127,766628396,0,Mon Jan 18 11:46:44 +0000 2016
607032996,766628396,0,Mon Jan 18 11:46:44 +0000 2016
711430106,766628396,0,Mon Jan 18 11:46:45 +0000 2016
731657791,766628396,0,Mon Jan 18 11:46:45 +0000 2016
746322504,766628396,0,Mon Jan 18 11:46:45 +0000 2016
822647132,766628396,0,Mon Jan 18 11:46:45 +0000 2016
139092127,766628396,0,Mon Jan 18 11:46:45 +0000 2016
738944845,766628396,0,Mon Jan 18 11:46:45 +0000 2016
840907788,766628396,0,Mon Jan 18 11:46:45 +0000 2016
762400112,766628396,0,Mon Jan 18 11:46:45 +0000 2016
755726904,766628396,0,Mon Jan 18 11:46:45 +0000 2016
799412802,766628396,0,Mon Jan 18 11:46:45 +0000 2016
587269212,766628396,0,Mon Jan 18 11:46:45 +0000 2016
824248088,766628396,0,Mon Jan 18 11:46:45 +0000 2016
605022199,766628396,0,Mon Jan 18 11:46:46 +0000 2016
801329023,766628396,0,Mon Jan 18 11:46:46 +0000 2016
855692065,766628396,0,Mon Jan 18 11:46:46 +0000 2016
756217460,766628396,0,Mon Jan 18 11:46:46 +0000 2016
757474471,766628396,0,Mon Jan 18 11:46:46 +0000 2016
711552756,766628396,0,Mon Jan 18 11:46:46 +0000 2016
584133319,766628396,0,Mon Jan 18 11:46:46 +0000 2016
635901778,766628396,0,Mon Jan 18 11:46:46 +0000 2016
848541625,766628396,0,Mon Jan 18 11:46:46 +0000 2016
486287911,766628396,0,Mon Jan 18 11:46:46 +0000 2016
774569377,766628396,0,Mon Jan 18 11:46:46 +0000 2016
844194348,766628396,0,Mon Jan 18 11:46:47 +0000 2016
792951848,766628396,0,Mon Jan 18 11:46:47 +0000 2016
827513635,766628396,0,Mon Jan 18 11:46:47 +0000 2016
746744420,766628396,0,Mon Jan 18 11:46:47 +0000 2016
635884207,766628396,0,Mon Jan 18 11:46:47 +0000 2016
817765526,766628396,0,Mon Jan 18 11:46:47 +0000 2016
790889654,766628396,0,Mon Jan 18 11:46:47 +0000 2016
540535608,766628396,0,Mon Jan 18 11:46:47 +0000 2016
608466267,766628396,0,Mon Jan 18 11:46:47 +0000 2016
627633931,766628396,0,Mon Jan 18 11:46:47 +0000 2016
320967613,766628396,0,Mon Jan 18 11:46:47 +0000 2016
615499222,766628396,0,Mon Jan 18 11:46:47 +0000 2016
580251107,766628396,0,Mon Jan 18 11:46:47 +0000 2016
768815720,766628396,0,Mon Jan 18 11:46:47 +0000 2016
743882666,766628396,0,Mon Jan 18 11:46:48 +0000 2016
777200318,766628396,0,Mon Jan 18 11:46:48 +0000 2016
614174044,766628396,0,Mon Jan 18 11:46:48 +0000 2016
740281339,766628396,0,Mon Jan 18 11:46:48 +0000 2016
754358449,766628396,0,Mon Jan 18 11:46:48 +0000 2016
756369559,766628396,0,Mon Jan 18 11:46:48 +0000 2016
715262394,766628396,0,Mon Jan 18 11:46:48 +0000 2016
486073610,766628396,0,Mon Jan 18 11:46:48 +0000 2016
251831017,803505462,0,Mon Jan 18 11:46:49 +0000 2016
414595495,803505462,0,Mon Jan 18 11:46:49 +0000 2016
2606872376,803505462,0,Mon Jan 18 11:46:49 +0000 2016
